id,msid,title,abstract,cite_count,DOI,location
100,1049,'Supporting Real-Time Applications in an Integrated Services Packet Network: Architecture and Mechanism','Abstract This  paper  considers  the  support  of  real time   applications in  an   Integrated Services  Packet Network    ISPN    We   rst review  the  characteristics  of real time   applications   We  ob  serve  that   contrary  to  the  popular  view  that  real time   ap  plications necessarily require a  xed delay bound   some real  time  applications  are more  exible and can adapt to current network  conditions  We  then  propose  an  ISPN  architec  ture  that  supports  two  distinct  kinds  of  real time   service  guaranteed   service    which  is  the  traditional  form  of  real  time  service discussed  in  most of the literature  and involves pre computed worst case delay bounds  and  predicted  service which uses the measured performance of the network in com  puting  delay  bounds   We  then  propose  a packet  scheduling  mechanism that can support both of these real time  services as  well  as  accommodate  datagram  tra c    We  also  discuss two  other  aspects  of  an  overall  ISPN  architecture   the  ser  vice  interface  and  the admission  control   criteria ',797,'10.1145/144179.144199','ACM SIGCOMM Conference - SIGCOMM'
101,1417,'Cooperative Mobile Robotics: Antecedents and Directions',"'There has been increased research interest in systems composed of multiple autonomous mobile robots exhibiting cooperative behavior. Groups of mobile robots are constructed, with an aim to studying such issues as group architecture, resource conflict, origin of cooperation, learning, and geometric prob- lems. As yet, few applications of cooperative robotics  have been reported, and supporting theory is still in its formative stages. In this paper, we give a critical survey of existing works and discuss open problems in this field, emphasizing the various theoretical issues that arise in the study of cooperative robotics. We describe the intellectual heritages that have guided early research, as well as possible additions to the set of existing motivations.'",584,null,'Autonomous Robots - AROBOTS'
102,1866,'The Bayou Architecture: support for data sharing among mobile users',null,256,'10.1109/MCSA.1994.512726','Workshop on Mobile Computing Systems and Applications - WMCSA'
103,3373,'Self-Similarity in World Wide Web Traffic: Evidence and Possible Causes',null,2216,null,'Sigmetrics Performance Evaluation Review - SIGMETRICS'
104,29556,'Range-free localization schemes for large scale sensor networks',"'Wireless Sensor  Networks have been proposed for a multitude of location-dependent applications. For such systems, the cost and limitations of the hardware on sensing nodes prevent the use of range-based localization schemes that depend on absolute point-to-point distance estimates. Because coarse accuracy is sufficient for most sensor network  applications, solutions in range-free localization are being pursued as a cost-effective alternative to more expensive range-based approaches. In this paper, we present APIT, a novel localization algorithm that is range-free. We show that our APIT scheme performs best when an irregular radio pattern and random node placement are considered, and low communication overhead is desired. We compare our work via extensive simulation, with three state-of-the-art range-free localization schemes to identify the preferable system configurations of each. In addition, we study the effect of location error on routing and tracking performance. We show that routing performance and tracking accuracy are not significantly affected by localization error when the error is less than 0.4 times the communication radio radius.'",991,'10.1145/938985.938995','Mobile Computing and Networking - MOBICOM'
105,35690,'The Anatomy of a Context-Aware Application',"'We describe a sensor-driven, or sentient, platform for context-aware computing that enables applications to follow mobile users as they move around a building. The platform is particularly suitable for richly equipped, networked environments. The only item a user is required to carry is a small sensor tag, which identifies them to the system and locates them accurately in three dimensions. The platform builds a dynamic model  of the environment using these location sensors and resource information gathered by telemetry software, and presents it in a form suitable for application programmers. Use of the platform is illustrated through a practical example, which allows a user's current working desktop to follow them as they move around the environment.'",609,null,'Wireless Networks - WINET'
106,38146,'Differentiated surveillance for sensor networks',"'For many sensor network  applications such as military surveillance, it is necessary to provide full sensing coverage to a security-sensitive area while at the same time minimizing energy consumption  and extending system lifetime by leveraging the redundant deployment of sensor nodes. It is also preferable for the sensor network  to provide differentiated surveillance service for various target areas with different degrees of security requirements. In this paper, we propose a differentiated surveillance service for sensor networks based on an adaptable energy-efficient sensing coverage protocol. In the protocol, each node is able to dynamically decide a schedule for itself to guarantee a certain degree of coverage (DOC) with average energy consumption  inversely proportional to the node density. Several optimizations and extensions are proposed to provide even better performance. Simulation shows that our protocol accomplishes differentiated surveillance with low energy  consumption. It outperforms other state-of-the-art schemes by as much as 50% reduction in energy consumption  and as much as 130% increase in the half-life of the network.'",288,'10.1145/958491.958498','Conference On Embedded Networked Sensor Systems - SenSys'
107,43043,'Collaborative filtering with privacy via factor analysis',"'Collaborative filtering  (CF) is valuable in e-commerce, and for direct recommendations for music, movies, news etc. But today's systems have several disadvantages, including privacy risks. As we move toward ubiquitous computing, there is a great potential for individuals to share all kinds of information about places and things to do, see and buy, but the privacy risks are severe. In this paper we describe a new method for collaborative filtering  which protects the privacy of individual data. The method is based on a probabilistic factor analysis  model. Privacy protection  is provided by a peer-to-peer protocol which is described elsewhere, but outlined in this paper. The factor analysis  approach handles missing data  without requiring default values for them. We give several experiments that suggest that this is most accurate method for CF to date. The new algorithm has other advantages in speed and storage over previous algorithms. Finally, we suggest applications of the approach to other kinds of statistical analyses of survey or questionaire data.'",200,'10.1145/564376.564419','Research and Development in Information Retrieval - SIGIR'
108,44987,'The bits and flops of the n-hop multilateration primitive for node localization problems',"'The recent advances in MEMS, embedded systems and wireless communication  technologies are making the realization and deployment of networked wireless microsensors a tangible task. Vital to the success of wireless microsensor networks is the ability of microsensors to ``collectively perform sensing and computation''. In this paper, we study one of the fundamental challenges in sensor networks, node localization. The collaborative multilateration presented here, enables ad-hoc deployed sensor nodes  to accurately estimate their locations by using known beacon locations that are several hops away and distance measurements to neighboring nodes. To prevent error accumulation in the network, node locations are computed by setting up and solving a global non-linear optimization  problem. The solution is presented in two computation models, centralized and a fully distributed approximation of the centralized model. Our simulation results show that using the fully distributed model, resource constrained sensor nodes  can collectively solve a large non-linear optimization  problem that none of the nodes can solve individually. This approach results in significant savings in computation and communication, that allows fine-grained localization to run on a low cost sensor node we have developed.'",386,'10.1145/570738.570755','Mobile Computing and Networking - MOBICOM'
109,52908,'SmartSkin: an infrastructure for freehand manipulation on interactive surfaces',"'This paper introduces a new sensor architecture for making interactive surfaces that are sensitive to human hand and finger gestures. This sensor recognizes multiple hand positions and shapes and calculates the distance between the hand and the surface by using capacitive sensing and a mesh-shaped antenna. In contrast to camera-based gesture recognition  systems, all sensing elements can be integrated within the surface, and this method does not suffer from lighting and occlusion problems. This paper describes the sensor architecture, as well as two working prototype systems: a table-size system and a tablet-size system. It also describes several interaction techniques that would be difficult to perform without using this architecture'",265,'10.1145/503376.503397','Computer Human Interaction - CHI'
